Player,Season,Season Type,Team,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%
Kris Humphries,2016-2017,REG,Hawks,56,12.30,4.59,1.07,2.61,3.68,0.52,0.27,0.38,0.50,1.23,1.55,3.82,0.407,0.34,0.96,0.352,1.14,1.46,0.781
Reggie Bullock,2016-2017,REG,Pistons,31,15.06,4.55,0.42,1.65,2.06,0.94,0.58,0.10,0.32,0.71,1.74,4.13,0.422,0.90,2.35,0.384,0.16,0.23,0.714
CJ Watson,2016-2017,REG,Magic,62,16.33,4.53,0.26,1.18,1.44,1.84,0.69,0.03,0.76,1.35,1.55,4.00,0.387,0.52,1.69,0.305,0.92,1.06,0.864
Davis Bertans,2016-2017,REG,Spurs,67,12.05,4.52,0.33,1.13,1.46,0.69,0.30,0.42,0.48,1.12,1.54,3.49,0.440,1.03,2.58,0.399,0.42,0.51,0.823
Corey Brewer,2016-2017,REG,"Rockets, Lakers",82,15.63,4.52,0.39,1.63,2.02,1.18,0.74,0.24,0.67,1.62,1.79,4.24,0.422,0.33,1.44,0.229,0.61,0.83,0.735
Reggie Williams,2016-2017,REG,Pelicans,6,13.24,4.50,0.33,0.67,1.00,0.67,0.50,0.00,0.00,0.33,1.33,3.83,0.348,0.83,1.83,0.455,1.00,1.17,0.857
Lucas Nogueira,2016-2017,REG,Raptors,57,19.09,4.44,1.44,2.84,4.28,0.74,0.91,1.56,0.81,2.40,1.81,2.74,0.660,0.05,0.21,0.250,0.77,1.18,0.657
Jarrod Uthoff,2016-2017,REG,Mavericks,9,12.75,4.44,0.89,1.56,2.44,1.00,0.22,0.44,0.33,0.89,1.78,4.22,0.421,0.33,1.00,0.333,0.56,0.78,0.714
Noah Vonleh,2016-2017,REG,Trail Blazers,74,17.10,4.42,1.77,3.46,5.23,0.42,0.41,0.36,0.86,2.08,1.76,3.65,0.481,0.09,0.27,0.350,0.81,1.27,0.638
Donatas Motiejunas,2016-2017,REG,Pelicans,34,14.08,4.41,0.76,2.21,2.97,0.94,0.53,0.32,0.91,1.62,1.68,4.06,0.413,0.32,1.38,0.234,0.74,1.44,0.510
Stanley Johnson,2016-2017,REG,Pistons,77,17.80,4.40,0.47,1.99,2.45,1.36,0.73,0.31,0.92,1.57,1.68,4.74,0.353,0.58,2.00,0.292,0.47,0.69,0.679
Pierre Jackson,2016-2017,REG,Mavericks,8,10.55,4.38,0.13,1.00,1.13,2.38,0.25,0.00,0.38,0.63,1.63,4.88,0.333,0.38,1.38,0.273,0.75,0.88,0.857
Ed Davis,2016-2017,REG,Trail Blazers,46,17.15,4.35,2.09,3.22,5.30,0.57,0.33,0.48,0.80,2.98,1.63,3.09,0.528,0.00,0.00,0.000,1.09,1.76,0.617
Jordan McRae,2016-2017,REG,Cavaliers,37,10.37,4.35,0.16,0.95,1.11,0.51,0.22,0.16,0.38,0.84,1.57,4.05,0.387,0.49,1.38,0.353,0.73,0.92,0.794
Dorian Finney-Smith,2016-2017,REG,Mavericks,81,20.27,4.32,0.68,2.06,2.74,0.83,0.64,0.31,0.56,1.54,1.53,4.11,0.372,0.69,2.36,0.293,0.57,0.75,0.754
Tyler Ennis,2016-2017,REG,"Rockets, Lakers",53,11.10,4.30,0.17,0.68,0.85,1.62,0.47,0.04,0.85,1.09,1.70,3.92,0.433,0.51,1.32,0.386,0.40,0.47,0.840
KJ McDaniels,2016-2017,REG,"Rockets, Nets",49,10.32,4.20,0.31,1.37,1.67,0.27,0.39,0.37,0.59,1.00,1.57,3.45,0.456,0.41,1.35,0.303,0.65,0.78,0.842
Brandon Rush,2016-2017,REG,Timberwolves,47,21.91,4.19,0.34,1.77,2.11,0.96,0.47,0.49,0.60,0.89,1.49,3.98,0.374,0.94,2.43,0.386,0.28,0.38,0.722
Pascal Siakam,2016-2017,REG,Raptors,55,15.62,4.16,1.16,2.20,3.36,0.31,0.47,0.82,0.60,1.98,1.87,3.73,0.502,0.02,0.13,0.143,0.40,0.58,0.688
Jason Terry,2016-2017,REG,Bucks,74,18.44,4.15,0.20,1.23,1.43,1.32,0.62,0.27,0.49,1.28,1.42,3.28,0.432,0.99,2.31,0.427,0.32,0.39,0.828
Ron Baker,2016-2017,REG,Knicks,52,16.48,4.13,0.23,1.65,1.88,2.06,0.65,0.15,1.08,1.42,1.58,4.17,0.378,0.44,1.65,0.267,0.54,0.83,0.651
Shabazz Napier,2016-2017,REG,Trail Blazers,53,9.66,4.11,0.15,1.00,1.15,1.26,0.60,0.04,0.77,0.72,1.38,3.45,0.399,0.64,1.74,0.370,0.72,0.92,0.776
Justin Harper,2016-2017,REG,76ers,3,10.44,4.00,0.67,1.00,1.67,0.67,0.00,0.00,1.33,0.67,1.67,4.00,0.417,0.67,2.33,0.286,0.00,0.00,0.000
Edy Tavares,2016-2017,REG,"Hawks, Cavaliers",2,13.80,4.00,2.00,3.50,5.50,0.50,0.00,3.00,1.00,1.50,2.00,2.50,0.800,0.00,0.00,0.000,0.00,1.50,0.000
Patrick McCaw,2016-2017,REG,Warriors,71,15.13,3.97,0.30,1.11,1.41,1.08,0.45,0.21,0.51,0.87,1.49,3.45,0.433,0.58,1.73,0.333,0.41,0.52,0.784
Thon Maker,2016-2017,REG,Bucks,57,9.86,3.96,0.70,1.30,2.00,0.40,0.18,0.46,0.30,1.47,1.46,3.18,0.459,0.49,1.30,0.378,0.56,0.86,0.653
Kay Felder,2016-2017,REG,Cavaliers,42,9.18,3.95,0.07,0.90,0.98,1.38,0.43,0.17,0.71,0.90,1.48,3.76,0.392,0.17,0.52,0.318,0.83,1.17,0.714
Jarell Martin,2016-2017,REG,Grizzlies,42,13.30,3.93,1.00,2.86,3.86,0.19,0.40,0.21,0.67,2.17,1.38,3.60,0.384,0.21,0.60,0.360,0.95,1.19,0.800
Anthony Brown,2016-2017,REG,"Pelicans, Magic",11,14.46,3.91,0.73,2.27,3.00,0.73,0.45,0.09,0.55,1.36,1.64,4.55,0.360,0.64,2.45,0.259,0.00,0.00,0.000
Jonas Jerebko,2016-2017,REG,Celtics,78,15.79,3.83,0.76,2.73,3.49,0.91,0.32,0.22,0.50,1.56,1.46,3.36,0.435,0.58,1.67,0.346,0.33,0.47,0.703
Malik Beasley,2016-2017,REG,Nuggets,22,7.50,3.77,0.23,0.55,0.77,0.50,0.32,0.00,0.36,0.45,1.50,3.32,0.452,0.41,1.27,0.321,0.36,0.45,0.800
Kris Dunn,2016-2017,REG,Timberwolves,78,17.09,3.76,0.31,1.82,2.13,2.41,1.00,0.46,1.14,2.28,1.51,4.01,0.377,0.27,0.94,0.288,0.46,0.76,0.610
Malachi Richardson,2016-2017,REG,Kings,22,9.01,3.59,0.14,0.91,1.05,0.50,0.23,0.05,0.36,1.05,1.27,3.09,0.412,0.36,1.27,0.286,0.68,0.86,0.789
Adreian Payne,2016-2017,REG,Timberwolves,18,7.51,3.50,0.50,1.33,1.83,0.39,0.44,0.39,0.44,1.78,1.28,3.00,0.426,0.17,0.83,0.200,0.78,1.06,0.737
Tyler Zeller,2016-2017,REG,Celtics,51,10.29,3.49,0.84,1.59,2.43,0.82,0.14,0.41,0.39,1.20,1.53,3.10,0.494,0.00,0.02,0.000,0.43,0.76,0.564
Tyus Jones,2016-2017,REG,Timberwolves,60,12.90,3.48,0.17,0.95,1.12,2.60,0.80,0.08,0.63,0.83,1.25,3.02,0.414,0.43,1.22,0.356,0.55,0.72,0.767
Brian Roberts,2016-2017,REG,Hornets,41,10.15,3.46,0.12,0.83,0.95,1.27,0.22,0.02,0.63,0.44,1.12,2.98,0.377,0.41,1.07,0.386,0.80,0.95,0.846
Rashad Vaughn,2016-2017,REG,Bucks,41,11.18,3.46,0.10,1.10,1.20,0.56,0.46,0.24,0.34,0.78,1.39,3.80,0.365,0.63,1.98,0.321,0.05,0.12,0.400
Johnny O'Bryant III,2016-2017,REG,"Nuggets, Hornets",11,7.33,3.45,0.82,0.91,1.73,0.55,0.00,0.09,0.55,0.91,1.36,2.73,0.500,0.27,0.55,0.500,0.45,0.55,0.833
Jose Calderon,2016-2017,REG,"Lakers, Hawks",41,13.15,3.44,0.37,1.44,1.80,2.15,0.27,0.02,1.00,0.88,1.34,3.27,0.410,0.49,1.56,0.312,0.27,0.29,0.917
Kyle Anderson,2016-2017,REG,Spurs,72,14.17,3.42,0.46,2.43,2.89,1.26,0.71,0.36,0.54,0.88,1.29,2.90,0.445,0.21,0.56,0.375,0.63,0.79,0.789
Dejounte Murray,2016-2017,REG,Spurs,38,8.46,3.42,0.16,0.95,1.11,1.26,0.21,0.16,1.00,0.76,1.32,3.05,0.431,0.24,0.61,0.391,0.55,0.79,0.700
Dragan Bender,2016-2017,REG,Suns,43,13.34,3.40,0.53,1.86,2.40,0.53,0.23,0.51,0.74,1.72,1.33,3.74,0.354,0.65,2.35,0.277,0.09,0.26,0.364
Jared Sullinger,2016-2017,REG,Raptors,11,10.70,3.36,0.91,1.55,2.45,0.27,0.36,0.09,0.36,1.55,1.36,4.27,0.319,0.27,1.64,0.167,0.36,0.73,0.500
Gary Payton II,2016-2017,REG,Bucks,6,16.54,3.33,0.00,2.00,2.00,2.17,0.50,0.67,1.67,1.50,1.33,3.67,0.364,0.17,1.50,0.111,0.50,0.83,0.600
Norris Cole,2016-2017,REG,Thunder,13,9.61,3.31,0.00,0.85,0.85,1.08,0.62,0.00,0.54,1.38,1.23,4.00,0.308,0.23,1.00,0.231,0.62,0.77,0.800
Nicolas Laprovittola,2016-2017,REG,Spurs,18,9.67,3.28,0.06,0.50,0.56,1.56,0.22,0.06,1.06,1.06,1.11,2.61,0.426,0.56,1.50,0.370,0.50,0.50,1.000
Darrun Hilliard,2016-2017,REG,Pistons,39,9.77,3.26,0.05,0.79,0.85,0.85,0.28,0.05,0.72,1.00,1.21,3.23,0.373,0.31,1.18,0.261,0.54,0.72,0.750
Paul Pierce,2016-2017,REG,Clippers,25,11.08,3.24,0.04,1.88,1.92,0.40,0.16,0.20,0.64,1.60,1.12,2.80,0.400,0.60,1.72,0.349,0.40,0.52,0.769
Wade Baldwin,2016-2017,REG,Grizzlies,33,12.27,3.21,0.33,1.06,1.39,1.85,0.55,0.21,1.18,1.21,1.09,3.48,0.313,0.09,0.67,0.136,0.94,1.12,0.838
Henry Ellenson,2016-2017,REG,Pistons,19,7.70,3.16,0.42,1.74,2.16,0.37,0.05,0.05,0.74,0.32,1.21,3.37,0.359,0.53,1.84,0.286,0.21,0.42,0.500
Briante Weber,2016-2017,REG,"Warriors, Hornets",20,10.26,3.10,0.40,0.90,1.30,1.05,0.60,0.05,0.40,0.80,1.25,3.00,0.417,0.05,0.50,0.100,0.55,0.80,0.688
Jakob Poeltl,2016-2017,REG,Raptors,54,11.60,3.06,1.44,1.61,3.06,0.22,0.31,0.37,0.54,2.09,1.24,2.13,0.583,0.00,0.00,0.000,0.57,1.06,0.544
